Built 200 real DSBench tasks (xlsx-native v2)
Final experiment: 80 synthetic + 200 real DSBench = 280 tasks
Models: ['gpt-4o-mini', 'gpt-4o'] | Repeats: 3 | Total runs: 1680
  [x|R] dsbench_real_00000007_question14 r2 | stage=execution silent=False tok=29082 54.2s
  [x|R] dsbench_real_00000007_question15 r0 | stage=execution silent=False tok=11111 14.3s
  [x|R] dsbench_real_00000007_question15 r1 | stage=execution silent=False tok=9122 13.7s
  [x|R] dsbench_real_00000007_question15 r2 | stage=execution silent=False tok=10914 13.6s
  [x|R] dsbench_real_00000007_question16 r0 | stage=execution silent=False tok=9625 13.3s
  [x|R] dsbench_real_00000007_question16 r1 | stage=execution silent=False tok=11353 15.0s
  [x|R] dsbench_real_00000007_question16 r2 | stage=execution silent=False tok=10224 13.9s
  [x|R] dsbench_real_00000007_question17 r0 | stage=execution silent=False tok=10646 14.3s
  [x|R] dsbench_real_00000007_question17 r1 | stage=execution silent=False tok=10521 14.3s
  [x|R] dsbench_real_00000007_question17 r2 | stage=execution silent=False tok=11118 15.1s
  [x|R] dsbench_real_00000007_question18 r0 | stage=execution silent=False tok=10738 15.8s
  [x|R] dsbench_real_00000007_question18 r1 | stage=execution silent=False tok=10372 14.1s
  [x|R] dsbench_real_00000007_question18 r2 | stage=execution silent=False tok=10234 16.4s
  [x|R] dsbench_real_00000007_question19 r0 | stage=execution silent=False tok=9971 15.2s
  [x|R] dsbench_real_00000007_question19 r1 | stage=execution silent=False tok=10681 15.9s
  [x|R] dsbench_real_00000007_question19 r2 | stage=execution silent=False tok=11017 16.6s
  [x|R] dsbench_real_00000007_question20 r0 | stage=execution silent=False tok=10383 14.6s
  [x|R] dsbench_real_00000007_question20 r1 | stage=execution silent=False tok=10507 16.2s
  [x|R] dsbench_real_00000007_question20 r2 | stage=execution silent=False tok=10059 16.3s
  [x|R] dsbench_real_00000007_question21 r0 | stage=execution silent=False tok=9989 16.9s
  [x|R] dsbench_real_00000007_question21 r1 | stage=execution silent=False tok=9886 16.8s
  [x|R] dsbench_real_00000007_question21 r2 | stage=execution silent=False tok=9707 14.4s
  [x|R] dsbench_real_00000007_question22 r0 | stage=execution silent=False tok=10131 16.1s
  [x|R] dsbench_real_00000007_question22 r1 | stage=execution silent=False tok=11168 15.6s
  [x|R] dsbench_real_00000007_question22 r2 | stage=execution silent=False tok=10473 15.0s
  [x|R] dsbench_real_00000007_question23 r0 | stage=execution silent=False tok=10446 20.4s
  [x|R] dsbench_real_00000007_question23 r1 | stage=execution silent=False tok=10405 16.6s
  [x|R] dsbench_real_00000007_question23 r2 | stage=execution silent=False tok=10193 15.0s
  [x|R] dsbench_real_00000010_question1 r0 | stage=execution silent=False tok=11700 16.7s
  [x|R] dsbench_real_00000010_question1 r1 | stage=execution silent=False tok=11065 16.6s
  [x|R] dsbench_real_00000010_question1 r2 | stage=execution silent=False tok=15574 20.7s
  [x|R] dsbench_real_00000010_question2 r0 | stage=execution silent=False tok=12626 18.0s
  [x|R] dsbench_real_00000010_question2 r1 | stage=execution silent=False tok=14572 20.5s
  [x|R] dsbench_real_00000010_question2 r2 | stage=execution silent=False tok=11066 18.3s
  [x|R] dsbench_real_00000010_question3 r0 | stage=execution silent=False tok=7337 15.6s
  [x|R] dsbench_real_00000010_question3 r1 | stage=execution silent=False tok=10269 14.0s
  [x|R] dsbench_real_00000010_question3 r2 | stage=execution silent=False tok=12342 16.0s
  [x|R] dsbench_real_00000010_question4 r0 | stage=execution silent=False tok=10592 15.4s
  [x|R] dsbench_real_00000010_question4 r1 | stage=execution silent=False tok=12724 18.6s
  [x|R] dsbench_real_00000010_question4 r2 | stage=execution silent=False tok=12640 14.8s
  [x|R] dsbench_real_00000010_question5 r0 | stage=execution silent=False tok=10602 16.5s
  [x|R] dsbench_real_00000010_question5 r1 | stage=execution silent=False tok=9890 15.6s
  [x|R] dsbench_real_00000010_question5 r2 | stage=execution silent=False tok=6600 12.8s
  [x|R] dsbench_real_00000010_question6 r0 | stage=execution silent=False tok=12708 17.0s
  [x|R] dsbench_real_00000010_question6 r1 | stage=execution silent=False tok=11886 16.2s
  [x|R] dsbench_real_00000010_question6 r2 | stage=execution silent=False tok=10325 14.5s
  [x|R] dsbench_real_00000010_question7 r0 | stage=execution silent=False tok=11028 16.5s
  [x|R] dsbench_real_00000010_question7 r1 | stage=execution silent=False tok=11360 17.1s
  [x|R] dsbench_real_00000010_question7 r2 | stage=execution silent=False tok=13393 18.5s
  [x|R] dsbench_real_00000010_question8 r0 | stage=execution silent=False tok=13462 27.7s
  [x|R] dsbench_real_00000010_question8 r1 | stage=execution silent=False tok=11586 20.4s
  [x|R] dsbench_real_00000010_question8 r2 | stage=execution silent=False tok=10766 16.3s
  [x|R] dsbench_real_00000010_question9 r0 | stage=execution silent=False tok=7462 11.7s
  [x|R] dsbench_real_00000010_question9 r1 | stage=execution silent=False tok=14385 18.6s
  [x|R] dsbench_real_00000010_question9 r2 | stage=execution silent=False tok=10909 18.4s
  [x|R] dsbench_real_00000010_question10 r0 | stage=execution silent=False tok=13038 18.0s
  [x|R] dsbench_real_00000010_question10 r1 | stage=execution silent=False tok=11263 17.0s
  [x|R] dsbench_real_00000010_question10 r2 | stage=execution silent=False tok=11052 15.7s
  [x|R] dsbench_real_00000010_question11 r0 | stage=execution silent=False tok=11689 20.5s
  [x|R] dsbench_real_00000010_question11 r1 | stage=execution silent=False tok=11365 17.3s
  [x|R] dsbench_real_00000010_question11 r2 | stage=execution silent=False tok=11252 18.5s
  [x|R] dsbench_real_00000010_question12 r0 | stage=execution silent=False tok=11231 19.1s
  [+|R] dsbench_real_00000010_question12 r1 | stage=interpretation silent=False tok=10753 15.8s
  [x|R] dsbench_real_00000010_question12 r2 | stage=execution silent=False tok=10228 15.9s
  [x|R] dsbench_real_00000010_question13 r0 | stage=execution silent=False tok=16672 17.0s
  [x|R] dsbench_real_00000010_question13 r1 | stage=execution silent=False tok=12976 14.0s
  [x|R] dsbench_real_00000010_question13 r2 | stage=execution silent=False tok=15568 17.1s
  [x|R] dsbench_real_00000010_question14 r0 | stage=execution silent=False tok=14228 25.0s
  [x|R] dsbench_real_00000010_question14 r1 | stage=execution silent=False tok=11033 20.5s
  [x|R] dsbench_real_00000010_question14 r2 | stage=execution silent=False tok=10866 16.0s
  [x|R] dsbench_real_00000010_question15 r0 | stage=execution silent=False tok=11578 16.4s
  [x|R] dsbench_real_00000010_question15 r1 | stage=execution silent=False tok=10236 14.8s
  [x|R] dsbench_real_00000010_question15 r2 | stage=execution silent=False tok=13916 17.7s
  [x|R] dsbench_real_00000010_question16 r0 | stage=execution silent=False tok=12390 17.5s
  [x|R] dsbench_real_00000010_question16 r1 | stage=execution silent=False tok=13624 16.8s
  [x|R] dsbench_real_00000010_question16 r2 | stage=execution silent=False tok=10094 14.0s
  [x|R] dsbench_real_00000010_question17 r0 | stage=execution silent=False tok=9223 18.3s
  [x|R] dsbench_real_00000010_question17 r1 | stage=execution silent=False tok=11745 18.4s
  [x|R] dsbench_real_00000010_question17 r2 | stage=execution silent=False tok=9105 15.1s
  [x|R] dsbench_real_00000010_question18 r0 | stage=execution silent=False tok=11272 17.8s
  [x|R] dsbench_real_00000010_question18 r1 | stage=execution silent=False tok=10990 15.4s
  [x|R] dsbench_real_00000010_question18 r2 | stage=execution silent=False tok=11091 14.7s
  [x|R] dsbench_real_00000010_question19 r0 | stage=execution silent=False tok=8516 14.7s
  [x|R] dsbench_real_00000010_question19 r1 | stage=execution silent=False tok=6568 9.9s
  [x|R] dsbench_real_00000010_question19 r2 | stage=execution silent=False tok=10324 18.8s
  [x|R] dsbench_real_00000010_question20 r0 | stage=execution silent=False tok=9436 16.2s
  [x|R] dsbench_real_00000010_question20 r1 | stage=execution silent=False tok=12442 16.9s
  [x|R] dsbench_real_00000010_question20 r2 | stage=execution silent=False tok=10293 17.3s
  [x|R] dsbench_real_00000016_question1 r0 | stage=execution silent=False tok=7840 14.1s
  [x|R] dsbench_real_00000016_question1 r1 | stage=execution silent=False tok=10850 14.4s
  [x|R] dsbench_real_00000016_question1 r2 | stage=execution silent=False tok=11811 15.2s
  [x|R] dsbench_real_00000016_question2 r0 | stage=execution silent=False tok=11039 13.7s
  [x|R] dsbench_real_00000016_question2 r1 | stage=execution silent=False tok=11037 16.6s
  [x|R] dsbench_real_00000016_question2 r2 | stage=execution silent=False tok=10019 11.8s
  [x|R] dsbench_real_00000016_question3 r0 | stage=execution silent=False tok=11530 15.3s
  [x|R] dsbench_real_00000016_question3 r1 | stage=execution silent=False tok=11026 12.5s
  [x|R] dsbench_real_00000016_question3 r2 | stage=execution silent=False tok=9941 11.8s
  [x|R] dsbench_real_00000016_question4 r0 | stage=execution silent=False tok=15198 19.3s
  [x|R] dsbench_real_00000016_question4 r1 | stage=execution silent=False tok=10840 12.7s
  [x|R] dsbench_real_00000016_question4 r2 | stage=execution silent=False tok=11163 13.5s
  [x|R] dsbench_real_00000016_question5 r0 | stage=execution silent=False tok=13708 15.9s
  [x|R] dsbench_real_00000016_question5 r1 | stage=execution silent=False tok=10728 13.3s
  [x|R] dsbench_real_00000016_question5 r2 | stage=execution silent=False tok=10762 14.7s
  [x|R] dsbench_real_00000016_question6 r0 | stage=execution silent=False tok=10876 13.2s
  [x|R] dsbench_real_00000016_question6 r1 | stage=execution silent=False tok=9781 14.3s
  [+|R] dsbench_real_00000016_question6 r2 | stage=interpretation silent=False tok=11889 13.8s
  [x|R] dsbench_real_00000016_question7 r0 | stage=execution silent=False tok=11067 13.7s
  [x|R] dsbench_real_00000016_question7 r1 | stage=execution silent=False tok=14730 14.8s
  [+|R] dsbench_real_00000016_question7 r2 | stage=interpretation silent=False tok=9093 12.2s
  [x|R] dsbench_real_00000016_question8 r0 | stage=execution silent=False tok=11118 15.5s
  [x|R] dsbench_real_00000016_question8 r1 | stage=execution silent=False tok=11283 12.9s
  [x|R] dsbench_real_00000016_question8 r2 | stage=execution silent=False tok=10686 12.7s
  [x|R] dsbench_real_00000016_question9 r0 | stage=execution silent=False tok=10816 12.9s
  [x|R] dsbench_real_00000016_question9 r1 | stage=execution silent=False tok=11512 15.0s
  [x|R] dsbench_real_00000016_question9 r2 | stage=execution silent=False tok=10440 14.2s
  [x|R] dsbench_real_00000016_question10 r0 | stage=execution silent=False tok=10269 13.6s
  [x|R] dsbench_real_00000016_question10 r1 | stage=execution silent=False tok=10219 14.6s
  [x|R] dsbench_real_00000016_question10 r2 | stage=execution silent=False tok=10998 14.9s
  [x|R] dsbench_real_00000016_question11 r0 | stage=execution silent=False tok=10875 14.5s
  [x|R] dsbench_real_00000016_question11 r1 | stage=execution silent=False tok=10624 14.7s
  [x|R] dsbench_real_00000016_question11 r2 | stage=execution silent=False tok=11160 13.2s
  [x|R] dsbench_real_00000016_question12 r0 | stage=execution silent=False tok=11774 17.5s
  [x|R] dsbench_real_00000016_question12 r1 | stage=execution silent=False tok=6248 11.7s
  [x|R] dsbench_real_00000016_question12 r2 | stage=execution silent=False tok=8754 13.6s
  [x|R] dsbench_real_00000030_question1 r0 | stage=execution silent=False tok=10918 17.4s
  [x|R] dsbench_real_00000030_question1 r1 | stage=execution silent=False tok=10585 17.2s
  [x|R] dsbench_real_00000030_question1 r2 | stage=execution silent=False tok=10520 18.0s
  [x|R] dsbench_real_00000030_question2 r0 | stage=execution silent=False tok=10370 14.8s
  [x|R] dsbench_real_00000030_question2 r1 | stage=execution silent=False tok=10117 15.9s
  [x|R] dsbench_real_00000030_question2 r2 | stage=execution silent=False tok=9887 15.7s
  [x|R] dsbench_real_00000030_question3 r0 | stage=execution silent=False tok=10672 16.5s
  [x|R] dsbench_real_00000030_question3 r1 | stage=execution silent=False tok=10291 16.1s
  [x|R] dsbench_real_00000030_question3 r2 | stage=execution silent=False tok=10704 15.0s
  [x|R] dsbench_real_00000030_question4 r0 | stage=execution silent=False tok=10578 19.4s
  [x|R] dsbench_real_00000030_question4 r1 | stage=execution silent=False tok=10492 15.2s
  [x|R] dsbench_real_00000030_question4 r2 | stage=execution silent=False tok=10684 16.5s
  [x|R] dsbench_real_00000030_question5 r0 | stage=execution silent=False tok=10577 16.8s
  [x|R] dsbench_real_00000030_question5 r1 | stage=execution silent=False tok=10789 17.2s
  [x|R] dsbench_real_00000030_question5 r2 | stage=execution silent=False tok=11090 16.8s
  [x|R] dsbench_real_00000030_question6 r0 | stage=execution silent=False tok=10819 16.2s
  [x|R] dsbench_real_00000030_question6 r1 | stage=execution silent=False tok=10028 15.6s
  [x|R] dsbench_real_00000030_question6 r2 | stage=execution silent=False tok=11115 15.7s
  [x|R] dsbench_real_00000030_question7 r0 | stage=execution silent=False tok=11882 17.7s
  [x|R] dsbench_real_00000030_question7 r1 | stage=execution silent=False tok=10656 17.3s
  [x|R] dsbench_real_00000030_question7 r2 | stage=execution silent=False tok=10219 15.5s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question1 r0 | stage=execution silent=False tok=11216 13.1s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question1 r1 | stage=execution silent=False tok=9912 15.0s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question1 r2 | stage=execution silent=False tok=10193 12.5s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question2 r0 | stage=execution silent=False tok=11643 14.6s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question2 r1 | stage=execution silent=False tok=11604 17.8s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question2 r2 | stage=execution silent=False tok=11166 16.7s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question3 r0 | stage=execution silent=False tok=11380 15.9s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question3 r1 | stage=execution silent=False tok=11244 15.2s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question3 r2 | stage=execution silent=False tok=13509 16.7s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question4 r0 | stage=execution silent=False tok=9900 13.6s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question4 r1 | stage=execution silent=False tok=11504 12.4s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question4 r2 | stage=execution silent=False tok=26743 29.9s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question5 r0 | stage=execution silent=False tok=11059 16.0s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question5 r1 | stage=execution silent=False tok=12051 11.6s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question5 r2 | stage=execution silent=False tok=10952 12.9s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question6 r0 | stage=execution silent=False tok=10962 13.8s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question6 r1 | stage=execution silent=False tok=8295 11.2s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question6 r2 | stage=execution silent=False tok=6313 11.4s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question7 r0 | stage=execution silent=False tok=10856 15.0s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question7 r1 | stage=execution silent=False tok=11206 14.9s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question7 r2 | stage=execution silent=False tok=10316 11.4s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question8 r0 | stage=execution silent=False tok=9969 13.5s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question8 r1 | stage=execution silent=False tok=10642 12.0s
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
/usr/local/lib/python3.10/dist-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
  [x|R] dsbench_real_00000033_question8 r2 | stage=execution silent=False tok=9716 13.0s
  [x|R] dsbench_real_00000035_question1 r0 | stage=execution silent=False tok=6526 12.0s
  [x|R] dsbench_real_00000035_question1 r1 | stage=execution silent=False tok=9884 18.4s
  [x|R] dsbench_real_00000035_question1 r2 | stage=execution silent=False tok=10075 20.2s
  [x|R] dsbench_real_00000035_question2 r0 | stage=execution silent=False tok=8926 17.2s
<sandbox>:20: FutureWarning: Setting an item of incompatible dtype is deprecated and will raise an error in a future version of pandas. Value '12127.5' has dtype incompatible with int64, please explicitly cast to a compatible dtype first.
<sandbox>:22: FutureWarning: Setting an item of incompatible dtype is deprecated and will raise an error in a future version of pandas. Value '9123.74' has dtype incompatible with int64, please explicitly cast to a compatible dtype first.
  [x|R] dsbench_real_00000035_question2 r1 | stage=execution silent=False tok=8952 18.8s
  [x|R] dsbench_real_00000035_question2 r2 | stage=execution silent=False tok=15172 23.2s
  [x|R] dsbench_real_00000035_question3 r0 | stage=execution silent=False tok=13977 26.7s
  [x|R] dsbench_real_00000035_question3 r1 | stage=execution silent=False tok=13750 25.1s
  [x|R] dsbench_real_00000035_question3 r2 | stage=execution silent=False tok=8888 19.2s
  [x|R] dsbench_real_00000035_question4 r0 | stage=execution silent=False tok=9339 15.8s
  [x|R] dsbench_real_00000035_question4 r1 | stage=execution silent=False tok=8588 15.6s
  [x|R] dsbench_real_00000035_question4 r2 | stage=execution silent=False tok=9612 17.1s
  [x|R] dsbench_real_00000035_question5 r0 | stage=execution silent=False tok=11697 23.8s
  [x|R] dsbench_real_00000035_question5 r1 | stage=execution silent=False tok=12783 19.4s
  [x|R] dsbench_real_00000035_question5 r2 | stage=execution silent=False tok=8210 14.9s
<sandbox>:14: FutureWarning: 'Q' is deprecated and will be removed in a future version, please use 'QE' instead.
<sandbox>:14: FutureWarning: 'Q' is deprecated and will be removed in a future version, please use 'QE' instead.
  [x|R] dsbench_real_00000035_question6 r0 | stage=execution silent=False tok=12941 22.3s
<sandbox>:24: FutureWarning: 'Q' is deprecated and will be removed in a future version, please use 'QE' instead.
<sandbox>:24: FutureWarning: 'Q' is deprecated and will be removed in a future version, please use 'QE' instead.
  [x|R] dsbench_real_00000035_question6 r1 | stage=execution silent=False tok=10852 25.5s
  [x|R] dsbench_real_00000035_question6 r2 | stage=execution silent=False tok=11255 21.4s
  [x|R] dsbench_real_00000035_question7 r0 | stage=execution silent=False tok=10049 20.1s
  [x|R] dsbench_real_00000035_question7 r1 | stage=execution silent=False tok=10364 23.6s
  [x|R] dsbench_real_00000035_question7 r2 | stage=execution silent=False tok=9760 15.6s
  [x|R] dsbench_real_00000035_question8 r0 | stage=execution silent=False tok=10988 19.6s
  [x|R] dsbench_real_00000035_question8 r1 | stage=execution silent=False tok=10110 19.1s
  [x|R] dsbench_real_00000035_question8 r2 | stage=execution silent=False tok=10274 18.5s
